Country,Region,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Trust,Dystopia
Finland,Western Europe,1,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,2.762835026
Denmark,Western Europe,2,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,2.432740688
Switzerland,Western Europe,3,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2.35026741
Iceland,Western Europe,4,7.504499912,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,2.460688114
Norway,Western Europe,5,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,2.168266296
Netherlands,Western Europe,6,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,2.352117062
Sweden,Western Europe,7,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,2.246299267
New Zealand,North America and ANZ,8,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,2.128108025
Austria,Western Europe,9,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,2.398446083
Luxembourg,Western Europe,10,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,2.153700352
Canada,North America and ANZ,11,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,2.195269108
Australia,North America and ANZ,12,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,2.129804134
United Kingdom,Western Europe,13,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,2.236721992
Israel,Middle East and North Africa,14,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,2.713358402
Costa Rica,Latin America and Caribbean,15,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,2.953135014
Ireland,Western Europe,16,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.943878174
Germany,Western Europe,17,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,2.295249462
United States,North America and ANZ,18,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,2.344124794
Czech Republic,Central and Eastern Europe,19,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,2.796808243
Belgium,Western Europe,20,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,2.348626614
United Arab Emirates,Middle East and North Africa,21,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,2.166965961
Malta,Western Europe,22,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1.952012062
France,Western Europe,23,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,2.053198338
Mexico,Latin America and Caribbean,24,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,2.662540197
Taiwan Province of China,East Asia,25,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,2.160238743
Uruguay,Latin America and Caribbean,26,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2.167276382
Saudi Arabia,Middle East and North Africa,27,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,2.203118801
Spain,Western Europe,28,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,1.997088432
Guatemala,Latin America and Caribbean,29,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,2.882723093
Italy,Western Europe,30,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,2.249505997
Singapore,Southeast Asia,31,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,0.937031746
Brazil,Latin America and Caribbean,32,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,2.571860313
Slovenia,Central and Eastern Europe,33,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.888586521
